Generation	Alive
0	319
1	338
2	284
3	270
4	269
5	246
6	240
7	217
8	235
9	182
10	201
11	202
12	204
13	193
14	195
15	169
16	197
17	162
18	167
19	159
20	144
21	144
22	156
23	162
24	143
25	157
26	156
27	164
28	138
29	149
30	125
31	127
32	134
33	140
34	138
35	117
36	130
37	117
38	128
39	132
40	129
41	122
42	128
43	124
44	139
45	142
46	126
47	144
48	148
49	167
50	160
51	144
52	148
53	136
54	146
55	164
56	160
57	138
58	142
59	143
60	155
61	138
62	135
63	131
64	121
65	135
66	117
67	118
68	118
69	107
70	97
71	102
72	104
73	111
74	125
75	118
76	135
77	121
78	128
79	121
80	120
81	136
82	128
83	130
84	135
85	141
86	145
87	146
88	131
89	137
90	136
91	130
92	135
93	132
94	119
95	105
96	106
97	103
98	108
99	111
100	120
101	126
102	127
103	146
104	127
105	139
106	131
107	148
108	141
109	127
110	132
111	129
112	133
113	145
114	161
115	143
116	146
117	145
118	146
119	133
120	150
121	152
122	162
123	155
124	125
125	138
126	131
127	150
128	133
129	156
130	141
131	177
132	124
133	115
134	147
135	124
136	139
137	132
138	142
139	156
140	158
141	147
142	159
143	158
144	158
145	153
146	152
147	148
148	160
149	125
150	137
151	134
152	132
153	139
154	141
155	132
156	129
157	136
158	136
159	115
160	130
161	118
162	125
163	138
164	140
165	140
166	130
167	135
168	123
169	120
170	116
171	130
172	121
173	137
174	134
175	123
176	128
177	130
178	130
179	153
180	118
181	122
182	124
183	131
184	124
185	121
186	108
187	108
188	119
189	102
190	110
191	87
192	87
193	101
194	88
195	104
196	85
197	92
198	85
199	94
200	91
201	84
202	84
203	89
204	85
205	80
206	83
207	79
208	82
209	81
210	93
211	88
212	106
213	98
214	101
215	106
216	114
217	107
218	111
219	99
220	105
221	105
222	118
223	115
224	113
225	117
226	127
227	119
228	117
229	128
230	113
231	107
232	102
233	107
234	107
235	106
236	109
237	112
238	118
239	120
240	127
241	132
242	154
243	166
244	149
245	141
246	141
247	133
248	121
249	136
250	133
251	135
252	142
253	127
254	126
255	119
256	116
257	118
258	102
259	106
260	85
261	82
262	84
263	84
264	92
265	91
266	114
267	95
268	107
269	103
270	116
271	113
272	104
273	89
274	97
275	83
276	93
277	94
278	97
279	98
280	100
281	101
282	102
283	114
284	111
285	108
286	106
287	127
288	105
289	112
290	109
291	124
292	118
293	132
294	122
295	152
296	139
297	148
298	150
299	177
300	178
301	170
302	170
303	164
304	169
305	195
306	165
307	160
308	149
309	145
310	138
311	129
312	120
313	125
314	125
315	112
316	128
317	129
318	144
319	136
320	152
321	137
322	145
323	131
324	136
325	134
326	139
327	120
328	122
329	100
330	94
331	92
332	100
333	98
334	113
335	107
336	108
337	113
338	98
339	102
340	105
341	91
342	85
343	84
344	79
345	85
346	72
347	87
348	80
349	74
350	66
351	64
352	66
353	76
354	64
355	66
356	71
357	75
358	87
359	84
360	77
361	80
362	72
363	72
364	61
365	55
366	58
367	50
368	45
369	43
370	46
371	36
372	36
373	35
374	38
375	46
376	42
377	51
378	36
379	43
380	33
381	31
382	29
383	29
384	33
385	34
386	36
387	37
388	41
389	43
390	42
391	34
392	38
393	40
394	41
395	42
396	42
397	48
398	39
399	44
400	44
401	48
402	44
403	44
404	46
405	40
406	47
407	40
408	51
409	50
410	47
411	52
412	43
413	48
414	42
415	44
416	42
417	47
418	50
419	52
420	47
421	48
422	49
423	52
424	58
425	52
426	54
427	63
428	65
429	67
430	73
431	78
432	72
433	79
434	80
435	72
436	75
437	58
438	65
439	74
440	74
441	62
442	47
443	50
444	37
445	32
446	31
447	35
448	33
449	43
450	37
451	53
452	45
453	61
454	53
455	61
456	65
457	79
458	45
459	47
460	53
461	49
462	50
463	49
464	50
465	54
466	56
467	49
468	48
469	47
470	41
471	43
472	47
473	46
474	53
475	50
476	58
477	54
478	64
479	57
480	68
481	66
482	72
483	77
484	63
485	64
486	68
487	55
488	55
489	54
490	54
491	54
492	62
493	49
494	49
495	53
496	53
497	56
498	60
499	62
500	48
501	46
502	46
503	41
504	34
505	31
506	33
507	31
508	34
509	34
510	40
511	37
512	34
513	31
514	29
515	28
516	30
517	34
518	32
519	42
520	36
521	52
522	44
523	60
524	52
525	62
526	63
527	76
528	42
529	41
530	40
531	40
532	39
533	39
534	39
535	38
536	40
537	40
538	48
539	40
540	40
541	40
542	40
543	40
544	40
545	40
546	40
547	40
548	40
